name,municipality,iata_code
Total Rf Heliport,Bensalem,
Lowell Field,Anchor Point,
Epps Airpark,Harvest,
Newport Hospital & Clinic Heliport,Newport,
Cordes Airport,Cordes,
Goldstone /Gts/ Airport,Barstow,
Cass Field,Briggsdale,
Grass Patch Airport,Bushnell,
Ringhaver Heliport,Riverview,
River Oak Airport,Okeechobee,
Lt World Airport,Lithonia,
Caffrey Heliport,Hiram,
Kaupulehu Heliport,Kailua/Kona,
Delta Shores Airport,Clark Fork,
Bailey Generation Station Heliport,Chesterton,
Hammer Airport,Polo,
St Mary Medical Center Heliport,Hobart,
Hayenga's Cant Find Farms Airport,Kings,
Hayden Farm Airport,Gardner,
Robbins Roost Airport,Stanford,
Shell Chemical East Site Heliport,Gonzales,
Ac & R Components Heliport,Chatham,
Lejeune Airport,Esterwood,
Slater Field,Federalsburg,
Dow Chemical Heliport,Ludington,
Battle Lake Municipal Airport,Battle Lake,
Cooper Flying Service Airport,Alba,
Sands Ranch Airport,Havre,
Bucks Airport,Bridgeton,
North Raleigh Airport,Louisburg,
Colgate-Piscataway Heliport,New Brunswick,
Weiss Airfield,West Bloomfield,
Exit 3 Airport,Wauseon,
Miami Valley Hospital Heliport,Dayton,
Steel Systems Heliport,Salem,
R J D Heliport,Coatesville,
Ferrell Field,Mercer,
Thomas Field,Loysville,
Mc Kenzie Bridge State Airport,Mc Kenzie Bridge,
Flying O Airport,Sumter,
Sw Region Faa Heliport,Fort Worth,
Tcjc-Northeast Campus Heliport,Fort Worth,
Ragsdale Road Airport,Manchester,
Alpine Range Airport,Everman,
San Jacinto Methodist Hospital Heliport,Baytown,
Clear Creek Ranch Airport,Kanab,
Vaughan Airport,Alton,
Groundhog Mountain Airport,Hillsville,
Lower Granite State Airport,Colfax,
Howell Airport,Longbranch,
Northern Lite Airport,Waupaca,
Hawks Run Airport,Asotin,
Lazy J. Aerodrome,Beverly,
L P Askew Farms Airport,O'Donnell,
Purkeypile Airport,Purkeypile,
Providence Seward Medical Center Heliport,Seward,
Ware Island Airport,Clanton,
Community Hospital of De Queen Heliport,De Queen,
Yat Heliport,Camp Verde,
Grant Airport,Grant,
Lugo Substation Heliport,Hesperia,
Swansboro Country Airport,Placerville,
Los Angeles County Sheriff's Department Heliport,Los Angeles,
St Vincent General Hospital Heliport,Leadville,
Berlin Fairgrounds Heliport,Berlin,
Rybolt Ranch Airport,Orlando,
Florida Hospital-Altamonte Heliport,Altamonte Springs,
Cedar Knoll Flying Ranch Airport,Geneva,
Medical Center Heliport,Columbus,
The Farm Airport,Wrightsville,
Stender Airport,Maysville,
Lava Hot Springs Airport,Lava Hot Springs,
Myers Field,Lizton,
Hoopeston Community Memorial Hospital Heliport,Hoopeston,
Community Hospital Heliport,Anderson,
William E. Koenig Airport,Dow,
Hilliard Airpark,Hilliard,
Caldwell Municipal Airport,Caldwell,
Flying N Ranch Airport,Lost Springs,
Lourdes Hospital Heliport,Paducah,
Barham Airport,Oak Ridge,
Schumaier Restricted Landing Area,Pinckneyville,
Country Breeze Airport,Slaughter,
Compaq Andover Heliport,Andover,
Annapolis Seaplane Base,Annapolis,
Saint Peter's Seaplane Base,Portage Lake,
Flow Through Terminal Heliport,Flint,
Barnes Seaplane Base,Cook,
Highway Patrol Troop C Headquarters Heliport,Town and Country,
Crystal Lakes Resort Airport,Fortine,
Topsail Airpark,Holly Ridge,
Detour Airport,Wellfleet,
Moore Airfield,Enfield,
Albert Guido Memorial Heliport,Newark,
Champion Ranch Airport,Artesia,
Lantana Ranch Airport,Yerington,
Vassar Hospital Heliport,Poughkeepsie,
Galion Community Hospital Heliport,Galion,
Lawrence Airport,Eakly,
Red & White Flying Service Airport,Silver Lake,
Pine Heliport,Mars,
Bierly(Personal Use) Airport,Bellefonte,
Nort's Resort Airport,Meshoppen,
York Airport,York,
Thirty Thirty Matlock Office Center Heliport,Arlington,
Smith Field,Forney,
Colonial Air Park,Collierville,
St Joseph Hospital Heliport,Fort Worth,
Mims Farm Ultralightport,Waxahachie,
Duckwater Airport,Duckwater,
La Sal Junction Airport,La Sal,
Pickles Airport,Berryville,
Willapa Harbor Heliport,South Bend,
Prehn Cranberry Company Airport,Tomah,
Whidbey General Hospital Heliport,Coupeville,
Odyssey Heliport,Renton,
Keyhole Airport,Moorcroft,
Seton Medical Center Hays Heliport,Kyle,
Meadowood Ranch Heliport,Athens,
Rustic Wilderness Airport,Willow,
Bass Field,Foley,
Three Rivers Airport,Little Rock,
Winchester Farm Airstrip,Willcox,
Swepi Beta Platform Ellen Heliport,Huntington Beach,
Shannon Field,Clarksdale,
Conover Air Lodge Airport,Frazier Park,
Mc Cullough Airport,Monte Vista,
Strangers Point Heliport,Ellington,
Osborn Airfield,Groveland,
Cuchens Airport,Defuniak Springs,
Doug Bolton Field,Commerce,
Etowah Fields Airport,Euharlee,
K3 Helipad Heliport,Pearl Harbor,
Boone County Hospital Heliport,Boone,
Morgan Ranch Airport,Cascade,
King Ultralightport,Westfield,
Diamond P. Field,Muncie,
Condell Medical Center Heliport,Libertyville,
Jmj Landing Airport,St Marys,
Boone National Guard Heliport,Frankfort,
La State Police Troop G Heliport,Bossier City,
Windy Hill Heliport,Broussard,
Cuttyhunk Heliport,Gosnold,
Old Acton Airfield,Acton,
Fairplains Airpark,Greenville,
Greenbush Municipal Airport,Greenbush,
Troy Airpark,Troy,
Watts Field,Rochdale,
Barrett Field,Cascade,
Timber Line Airpark,Cassville,
Race City Heliport,Landis,
Benes Service Airport,Valparaiso,
Iroquois Landing Seaplane Base,Dummer,
Penske Heliport,Piscataway,
Paiute Meadows Airport,Winnemucca,
Hansen Heliport,Durhamville,
Zimmerman Airport,Fremont,
Murtha Airport,Conneaut,
Canon Heliport,Oklahoma City,
Rowena Dell Airport,The Dalles,
Stottle Memorial Heliport,Honey Grove,
Lag Iii Heliport,Monroeville,
Peco Berwyn Heliport,Berwyn,
Cuylers Airport,Vega Baja,
Hughes Ultralightport,Tioga,
Harpers Airport,Estill,
Wise River Airport,Wise River,
Matagorda Shore Facility Heliport,Matagorda,
Baylor Medical Center Heliport,Waxahachie,
Ellis Field,Murfreesboro,
Fwomc Heliport,Fort Worth,
The Palms At Kitty Hawk Airport,New Home,
Lucin Airport,Lucin,
The Greenhouse Airport,Culpeper,
Northstar Aviation Heliport,Bristol,
Cawleys South Prairie Airport,South Prairie,
Beer Airport,Hudson,
Fowler Field,Tonasket,
Seidel Ranch Airport,Elroy,
Joe Clouds Seaplane Base,Kenai,
Jackson County Hospital Heliport,Scottsboro,
Hscmh Heliport,Malvern,
Thompson International Aviation Airport,Hereford,
Grossmont Hospital Heliport,La Mesa,
Kugel-Strong Airport,Platteville,
Lake Persimmon Airstrip,Lake Placid,
Tharpe Airport,Bonifay,
Ranger Heliport,West Palm Beach,
Clarks Dream Strip,Circleville,
East Field,Montezuma,
Flying Y Ranch Airport,Council,
Davis Field Ultralightport,Mount Vernon,
Wix Airport,Monee,
Heinzman Airport,Arcadia,
St Anthony's Hospital Heliport,Alton,
Valley Grain Heliport,Highland,
Flying H Farms Airport,Henderson,
Damien Heliport,Carville,
Fmc Nr 1 Heliport,Winnsboro,
Lakeside Marina Seaplane Base,East Winthrop,
Hadley Airport,Hadley,
Upper Chesapeake Medical Center Heliport,Bel Air,
Maple Ridge Airport,Harrison,
Harold Miller Heliport,Bay City,
Nauerth Land Ranch Airport,Lakefield,
Cahoochie Airport,Urbana,
Vicksburg Medical Center Heliport,Vicksburg,
Cascade Airport,Cascade,
Mc Donnell Airport,Archie,
Utirik Airport,Utirik Island,UTK
Pilots Ridge Airport,Carolina Beach,
Olafson Brothers Airport,Edinburg,
Hyde Ranch Airport,Comstock,
Lorden Heliport,Milford,
At&T Heliport,Berkely Heights,
Llama Ranch Airport,Ruby Valley,
Talmage Field,Riverhead,
Gibbs Field,Fremont,
Marymount Hospital Heliport,Garfield Heights,
Sahoma Lake Airport,Sapulpa,
Powwatka Ridge Airport,Troy,
Collegeville Heliport,Collegeville,
M.P. Metals Heliport,Berwick,
Ziggy's Field,Bellefonte,
Sandy River Airport,Sandy,
Seacoast Medical Center Heliport,Little River,
Gay Hill Farm Airport,Gay Hill,
Barronena Ranch Airport,Hebbronville,
Eagles Landing Heliport,Sevierville,
Shannon Medical Center Heliport,San Angelo,
M D K Field,Pearland,
A Z Minerals Corporation Airport,Mexican Hat,
Whipoorwill Springs Airport,Nokesville,
Spangle Field,Spangle,
Zink Airport,Berlin,
Aerostone Ranch Airport,Goldendale,
Creekside Airport,Mertzon,
Anniston AHP (Anniston Army Depot),Anniston,
Saline Memorial Hospital Heliport,Benton,
Chinle Airport,Chinle,
Gray Butte Field,Palmdale,
Hunt's Sky Ranch Airport,Julian,
Shingle Mill Heliport,Harwinton,
De Leon Municipal Airport,De Leon,
Richards Field,Homestead,
Cross Creek Farms Airport,Ormond,
Columbus Southwest Airport,Columbus,
Middlekoop Airport,Packwood,
Lanham Field,Emmett,
Turkey Run Airport,New Haven,
Schertz Aerial Service - Hudson Airport,Hudson,
Lake Gage Seaplane Base,Angola,
Van Gorder Airport,Mansfield,
Robinson Industries Heliport,Lawrence,
Natchez Trace Farm Airport,Hiseville,
St James Heliport,Lutcher,
Brunner Airport,West Dundee,
La National Guard Heliport,Baton Rouge,
Goddard Field (Airport),Haverhill,
Chesapeake City Heliport,Chesapeake City,
Beech Hill Airport,Mercer,
Rapids Airway Airport,Eaton Rapids,
Helblad Airport,Kelliher,
Airpark Private Airport,Vandalia,
Nick's Flying Service Inc Airport,Rolling Fork,
Pluhar Airport,Cohagen,
Western Wake Medical Center Heliport,Cary,
Mc Connell Field Airport,Sarben,
Emmanuel Airport,Elmer,
Kingston Ranch Airport,Sandy Valley,
Klaverack Airport,Hudson,
Teufel Heliport,Forest Grove,
Bossow Airport,Garrettsville,
Stillwater Medical Center Heliport,Stillwater,
Collins Landing Strip,Mitchell,
S & C Distribution Center Heliport,Philadelphia,
Strawbridge & Clothier Exton Heliport,Exton,
Emergency Helipad,Easley,
Capitol National Bank Building Heliport,Austin,
Veterans Affairs Medical Center Heliport,Houston,
Hensley Airpark,Chuckey,
Hummingbird Heliport,Hutto,
Pocock Airport,China Spring,
Navajo Mountain Airport,Navajo Mountain Trdng Post,
Saguache Municipal Airport,Saguache,
Russell County Medical Center Heliport,Lebanon,
Manquin Flight Park Ultralightport,Manquin,
Lightning Bolt Field Airport,Cabot,
Field of Dreams Airport,Hinckley,
Ox Meadows Airport,Spokane,
Dutch Gap Airstrip,Bristol,
Stillwater Creek Airport,Royal City,
West Virginia Univ. Hosp. Inc. Gnd. Pad #2 Heliport,Morgantown,
Napiers Heliport,Mansfield,
Wasilla Creek Airpark,Palmer,
Allen Stagefield Army Heliport,Fort Rucker/Wicksburg,
Ozark Skies Airpark,Kingston,
Yuma Regional Medical Center Heliport,Yuma,
Van Buren Seaplane Base,Van Buren,
Lost Hills Sheriff's Station Heliport,Calabasas,
Pope Valley Airport,Pope Valley,
Rancho De Aereo Airport,Mead,
O And G Heliport,Torrington,
Melanie's Airport,Florala,
Aventura Heliport,North Miami Beach,
Charlton Strip,La Belle,
Raju Airport,Richland,
Spotts Field,Nora Springs,
Running Creek Ranch Airport,Grangeville,
Reichhart Airport,New Haven,
Classic Landings Airport,Bonfield,
Cooper Airport,Belleville,
Hardy Airport,Mount Auburn,
Darbro Field,Elk City,
Cartersville Airport,Berea,
Greg's Flying Service Airport,Baskin,
Midwest Heliport,Willowbrook,
Grass Roots Airport,Alexandria,
Pauls Valley General Hospital Heliport,Pauls Valley,
Bentley Heliport,Ipswich,
Breezecroft Airport,Chestertown,
Drisko Airport,Jonesboro,
Portageville Community Heliport,Portageville,
Va Medical Center Jackson Heliport,Jackson,
Brunswick Community Hospital Heliport,Supply,
Mc Kay Airport,Spalding,
Stumpfield Heliport,Kensington,
Paulus Hook Pier Heliport,Jersey City,
Oswego County At Pulaski Heliport,Pulaski,
Dorlon Airpark,Columbia Station,
Hawk Haven Airport,Crescent,
Peacock Ranch Airport,Enterprise,
Philadelphia Market Street Heliport,Philadelphia,
State Police Area Iii Heliport,Harrisburg,
Mills Brothers Airport,Burnt Cabins,
Vernonia Airfield,Vernonia,
Brandes Air Field,Sealy,
Hilde-Griff Field,Georgetown,
Thurmond Glenn Field,Covington,
Dew Drop Airport,Justin,
Circle 'A' Ranch Airport,Blum,
Oljato Airport,Oljato,
Blanca Airport,Blanca,
Providence Airport,Farmville,
Port of Highgate Springs Heliport,Highgate Springs,
Sacred Heart Medical Center Helistop,Spokane,
Ames Private Airport,Darien,
Flat Creek Field,Kettle Falls,
Johnson Memorial Airport,Wilmot,
Henning Municipal Airport,Henning,
June Lake Airpark,Wasilla,
Brown Stagefield Army Heliport,Fort Rucker/New Brockton,
Bondair Airport,Higden,
Mercy Gilbert Medical Center Heliport,Gilbert,
Lucky Landing Marina and Seaplane Base,Bangor,
Sce Solar I Heliport,Yermo,
Abc7-Tv Heliport,Glendale,
Jecan Airport,Branson,
William P Gwinn Airport,Jupiter,
Grass Roots Airpark,Mascotte,
Morton Plant Hospital Heliport,Clearwater,
Smith Heliport,Redan,
Patoka Reservoir Landing Area Seaplane Base,French Lick,
Rich Field,Walford,
Larkin Airport,Kuna,
Humm Airport,Earlville,
Ellis Fly-In Airport,Blackhawk,
Sinele Strip,Nauvoo,
Riverside Hospital Airlift Heliport,Wichita,
Falcon Heliport,Jackson,
Panther Helicopters Inc Heliport,Belle Chasse,
Hammersmith Heliport,Elburn,
Tembec Heliport,St Francisville,
The Barn Heliport,Pepperell,
Bayview Heliport,Baltimore,
W A Foote Memorial Hospital Heliport,Jackson,
Pike Field Airport,Virginia,
Noahs Ark Airport,Waldron,
Torgerson Airport,Ethridge,
Randall Airport,Middletown,
Tailwinds Airport,St. Pauls,
Fitterer's Strip,Glen Ullin,
St Marys Hospital Heliport,Nebraska City,
Cole Farm Airport,Kensington,
Chemical Bank - New Jersey Na Heliport,Moorestown,
Murphy Field,Auburn,
Saint Elizabeth Medical Center Heliport,Youngstown,
Hal Joy Airfield,Williamsfield,
Green Acres Airport,New Lebanon,
Albert Lodge Heliport,Grove,
Hayden Mountain Airport,Forest Grove,
Freefall Oz Airport,Ceres,
Schiavoni Heliport,Harrisburg,
Cherokee Island Castle Heliport,West Homestead,
Grawunder Field,Bellville,
Beyer Farm Airport,Derby,
Glaser Field,Buckholts,
Ainsworth Airport,Cleveland,
Hunter STOLport,Columbia,
Roscoe Mc Connico Airport,Kerens,
Diamond N Ranch Airport,Hockley,
Mount Horeb Field,Grottoes,
N A Degerstrom Yard Heliport,Spokane,
Young Private Airport,Frederic,
Western Airpark,Yelm,
Campbell Field,Aubrey,
Herman Municipal Airport,Herman,
Tac X Stagefield Army Heliport,Fort Rucker/Samson,
Morrilton Airport,Morrilton,
John C Lincoln Hospital Heliport,Phoenix,
Blue Hill Airport,Blue Hill,
West Side Hospital Heliport,Taft,
Richvale Airport,Richvale,
Comanche Creek Airport,Kiowa,
Tnt Heliport,Salem,
Tackaberry Airport,Avoca,
Ocean Reef Club Airport,Key Largo,
Flying G Ranch STOLport,Lee,
Southwest Florida Regional Medical Center Heliport,Fort Myers,
Alcovy Airport,Covington,
Lake Monroe Seaplane Base,Bloomington,
Interstate Airport,Malta,
St Vincent Jennings Hospital Heliport,North Vernon,
Gray Airport,Boggstown,
Central City Municipal - Larry Reineke Field,Central City,
Heape Field,Augusta,
Blue Lick Airport,Louisville,
Air Oil Inc Nr 1 Heliport,Harahan,
LA State Police Troop F Heliport,Monroe,
West Pond Heliport,Plymouth,
Baugher's Orchard Airport,Westminster,
Westbrook Heliport,Westbrook,
Scott Airstrip,Lake,
Dairyview Airport,Hadley,
Lake Sexton Airport,Warrensburg,
Glasgow Industrial Airport,Glasgow,
Bermudian Valley Airpark,Kralltown,
Hawks Meadow Airport,Waxhaw,
Diving Rock Seaplane Base,Washington,
Palisades General Hospital Heliport,North Bergen,
Mmc Heliport,Monticello,
Tennessee Gas Heliport,Claysville,
Pleasant Valley Airport,Snyder,
Bruce's Airport,Milwaukie,
Folmar Airport,Grassflat,
Churchill Airport,Phillipsburg,
Salaika Aviation Airport,Danbury,
Cuddihy Field,Corpus Christi,
Corntassel Airport,Vonore,
Cross-Country Estates Airport,Georgetown,
Pecks Heliport,Princeton,
ATK/Thiokol Airport,Howell,
Alpha Hotel Airport,Clover,
Meadow STOLport,Jericho,
Deaconess Medical Center Heliport,Spokane,
Bartell Strip,Genessee Depot,
Allen Ponderosa Heliport,Crowley,
Hill City-Quadna Mountain Airport,Hill City,
Fisher Airport,Big Lake,
Crittenden Regional Hospital Heliport,West Memphis,
Mesa Police Heliport,Mesa,
Merrymeeting Field,Bowdoinham,
Pg & E Co. Placerville Svc Center Heliport,Diamond Springs,
Kistler Ranch Airport,Jamestown,
Tulare Motor Sports #1 Heliport,Tulare,
Terra Firma Airport,Rush,
Seavair's Landing Seaplane Base,Winsted,
City of Coalgate Airport,Coalgate,
Duda Airstrip,La Belle,
Sunniland Ranch Airport,Okeechobee,
J. H. Hendrie Farms Airport,Lake Placid,
Salt Fork Lodge Heliport,Cambridge,
Sapelo Island Airport,Darien,
Symms Airport,Marsing,
Lagrange Hospital Heliport,Lagrange,
Harms Airstrip,Tampico,
Winona Lake Seaplane Base,Winona Lake,
Hemmer RLA Restricted Landing Area,Du Quoin,
Alderson Airport,Bennington,
Boss Airport,Burnside,
Air Oil Inc Nr 2 Heliport,Harahan,
Sauer Airport,Dwight,
Aeleron Airport,Grand Coteau,
Wormid Airport,Southborough,
St Joseph Hospital Heliport,Towson,
Lindbergh Airport,Avon,
Sparrow Hospital Heliport,Lansing,
Christenson Point Seaplane Base,Chisholm/Hibbing,
Twin Oaks Airport,Jasper,
Williams Field,Coldwater,
Clark Airport,Grassrange,
Keller Brothers Airport,Lebanon,
Whiteheart Farm Airport,Lewisville,
Brecht Strip,Golden Valley,
Laurel Municipal Airport,Laurel,
Memorial Hospital Heliport,North Conway,
St Barnabas Medical Center Heliport,Livingston,
Md1 Airport,Middletown,
Kenley Airport,Hartford,
Parks Airport,Wilburton,
Saxon Sycan Airport,Silver Lake,
Pocono Raceway Heliport,Pocono Pines,
Thomson Heliport,Lancaster,
Richmond Airport,West Kingston,
Rancho Del Lago Heliport,Fischer,
B. J. Mc Combs Sisterdale Airport,Comfort,
Puesta Del Sol Airport,La Gloria,
Cross Wind Airport,Weatherford,
Stevens-Crosby Airport,North Fork,
Springwood Airstrip,Buchanan,
Manchester Laboratory Heliport,Manchester,
Pierick Airport,Highland,
Peterson Airport,Old Ocean,
West Beaver Airport,Big Lake,
Magnolia Hospital Heliport,Magnolia,
Stronghold Airport,St David,
Mee Memorial Hospital Heliport,King City,
Alta Sierra Airport,Grass Valley,
Tulare Motor Sports #2 Heliport,Tulare,
Cottonwood Field,Swink,
Placid Lakes Airport,Lake Placid,
Cheryl-Lane Landings Airport,Bushnell,
Sunnybreeze Airport,Arcadia,
Sunbelt Strip,Moultrie,
International Falls Seaplane Base,International Falls,
Skydive Iowa Airport,Brooklyn,
Taylor Ranch Landing Area Airport,Moscow,
Gibbons Field,Valeene,
Silver Cross Hospital Heliport,Joliet,
Gordon Airport,Columbia City,
Swedish American Heliport,Rockford,
Coffman Airport,Wellsville,
Baptist Hospital East Heliport,Louisville,
Era Helicopters Fourchon Helibase Heliport,Grand Isle,
Pine Hill Airport,Capron,
West Feliciana Sheriff's Office Heliport,St Francisville,
Kallander Field,Southborough,
Perrotti Skyranch Airfield,Berwick,
Michigan National Guard Headquarters Heliport,Lansing,
W Johnson Field,Hazel Run,
Hogue Farm Airport,Willard,
Airhaven Airport,Staatsburg,
William Irving Lewis Airport,Broadway,
Summer Hill Farm Airport,Bennington,
Stonebridge Farm Helistop,Somerville,
Spring Lake Fire Department Heliport,Kingston,
Ragtime Aerodrome,Collinsville,
Mid-Columbia Medical Center Heliport,The Dalles,
Eagle Field,Port Matilda,
Hundley Residence Heliport,Kintersville,
Sullivan Lake State Airport,Metaline Falls,
Lazy G Bar Ranch Airport,Decatur,
Running M Ranch Airport,Glen Rose,
Univ of Tennessee Medical Center Heliport,Knoxville,
Pitcock Rosillos Mountain Ranch Airport,Marathon,
Smokey Mtn Ranch Airport,Sheffield,
Alum Ridge STOLport,Floyd,
Augusta Medical Center Heliport,Fishersville,
South Capitol Street Heliport,Washington,
Holy Family Hospital Heliport,Spokane,
Parkway Farm Strip,Holmen,
Baptist Medical Center Heliport,San Antonio,
Wipline Seaplane Base,Inver Grove Hgts,
Pilot Station Airport,Pilot Station,
Scotts Airport,North Pole,
Anderson Lake Airport,Wasilla,
Yentna Bend Strip,Willow,
Parker Lake Airport,Montana Creek,
Young Creek Airport,May Creek,
Victory Airport,Victory Bible Camp,
Bradley Lake Hydroelectri Project Airstrip,Homer,
Pollux Heliport,North Pole,
Falcon Lake Strip,Point Mackenzie,
Huntsville Field,Huntsville,
Resort Airport,Foley,
Clay County Hospital Heliport,Ashland,
Hospital Pad Heliport,Evergreen,
B.M.C. - De Kalb Heliport,Fort Payne,
Flomaton Airport,Flomaton,
D.W. Mcmillian Memorial Hospital Heliport,Brewton,
Gadsden Regl Medical Center Heliport,Gadsden,
Brookwood Medical Center Heliport,Birmingham,
Wilson Creek Airport,Florence,
Smh Heliport,Springdale,
Hooterville South Airport,Centerville,
Mission Field-Marotti Memorial Airport,Crawfordsville,
Taylor's Air Strip,Deer,
Gravette Medical Center Hospital Heliport,Gravette,
Rgnl Medical Center Heliport,Jonesboro,
Ami National Park Medical Center Heliport,Hot Springs,
Yancopin Airport,Watson,
Howard Memorial Hospital Heliport,Nashville,
Eureka Springs Hospital Heliport,Eureka Springs,
Arizona Heart Hospital Heliport,Phoenix,
Taylor Field,Marana,
Western Sky Airport,Salome,
Flying Bucket Ranch Airport,Mobile,
Castle Well Airport,Morristown,
St Joseph's Hospital Heliport,Phoenix,
Sunstate Heliport,Phoenix,
Brewer Airport,Brewer,
Warren-Sugarbush Airport,Warren,
Triple R Airport,Dearborn,
Hinckley Airport,Hinckley,
Canadian Lakes Airport,Mecosta,
Grandpas' Farm Mendota Airport,Mendota,
Cushing Field Ltd Airport,Newark,
Coach & Paddock Heliport,Clinton,
Drew Medical Center Heliport,Los Angeles,
Northside Airpark,Santa Maria,
Va Greater Los Angeles Health Care Center Heliport,West Los Angeles,
Crawford Airport,Santa Ynez,
Shepherd Ranch Airport,Santa Ynez,
Hoffman Private Airport,Santa Ysabel,
Emory Ranch Airport,Ocotillo,
Boeing Seal Beach (Rooftop) Heliport,Seal Beach,
Ward Ranch Airport,Aguanga,
Blech Ranch Airport,Shandon,
Delta County Memorial Hospital Heliport,Delta,
Colorado Plains Medical Center Heliport,Fort Morgan,
Foxx Valley Airport,Yoder,
Branch's Heliport,Kersey,
Kauffman Heliport,Denver,
Pinon Canyon Airport,Trinidad,
Exempla Good Samaritan Heliport,Lafayette,
Fox Hole Airport,Lafayette,
Prowers Medical Center Heliport,Lamar,
Swedish S.W. Medical Heliport,Littleton,
Yosemite Hidden Lake Ranch Airport,Raymond,
Krey Field Airport,Adelanto,
Parking Lot Heliport,Chula Vista,
John Nichol's Field Airport,Chula Vista,
Glen Fed Heliport,Glendale,
The Atrium Heliport,Irvine,
Bohunk's Airpark,Lancaster,
Good Samaritan Hospital Heliport,Los Angeles,
Tera Ultralightport,Ridgecrest,
Sce San Jacinto Valley Service Center Heliport,Romoland,
Longmont United Hospital Heliport,Longmont,
Dave's Airport,Louisville,
Buckhorn Ranch Airport,Crested Butte,CSE
Greggs Nr 1 Airport,Bennett,
Geo-Seis Helicopters Heliport,Fort Collins,
Chenoweth Airport,Last Chance,
Flying M & M Ranch Airport,Norwood,
Century Helicopters Heliport,Fort Collins,
Cartwheel Airport,Mead,
Van Treese Airport,Monte Vista,
Sharon Hospital Heliport,Sharon,
Bristol-Myers Squibb Company Heliport,Wallingford,
Windham Hospital Heliport,Willimantic,
N B G H Heliport,New Britain,
Burke Heliport,Prospect,
St Francis Hospital Heliport,Hartford,
Middletown Heliport,Middletown,
Bridgeport Hospital Heliport,Bridgeport,
Danbury Hospital Heliport,Danbury,
Hartford Hospital Heliport,Hartford,
Wilber Municipal Airport,Wilber,
Ada Airport,Ada,
Corydon Airport,Corydon,
Doral Resort & Country Club Heliport,Miami,
Frierson Grove Airport,Arcadia,
Doctors Memorial Hospital #2 Heliport,Perry,
Big 'G' Airport,Ormond Beach,
Panhandle Helicopter Llc Heliport,Panama City Beach,
Dolphin Stadium Heliport,Miami,
Dugger Field,Freeport,
Cloverleaf Farms Ii Inc. Heliport,Reddick,
Breezy Knoll Airport,Defuniak Springs,
Fulton Seaplane Base,Sebastian,
Joy Farms Airport,Defuniak Springs,
Harper's Fly-In Ranch Airport,Clewiston,
Thompson Airfield,Branford,
Alligator Drink Seaplane Base,Geneva,
Old Town Ems Heliport,Old Town,
